X,Y,amenity,osm_id
32.52945807,15.60359324,pharmacy,4359863897
33.5200904,14.39706975,pharmacy,7301850731
32.50868604,15.51531219,pharmacy,7005468243
32.46018592,15.59606269,pharmacy,7151275752
32.44806284,15.66206255,pharmacy,7183566347
26.14394344,11.46558218,clinic,7441946886
32.57401434,15.55344163,pharmacy,7905631825
32.56823887,15.6068963,pharmacy,6007421973
30.46757519,19.17802375,doctors,8033534689
32.52450093,15.64141197,pharmacy,4639379794
32.47619988,15.71851718,pharmacy,6796892696
32.57256662,15.59659159,hospital,3581912299
32.52119905,15.52238333,pharmacy,6993244746
32.57818593,15.73256207,pharmacy,6971627841
32.56543722,15.49318782,pharmacy,7089373687
32.48865044,15.64427213,pharmacy,4759494221
32.55975035,15.61124332,hospital,6007363151
32.53831095,15.55156224,pharmacy,7013181843
32.52731314,15.5274372,pharmacy,7004788822
32.46068565,15.64968776,pharmacy,7170213289
32.57439848,15.58727745,pharmacy,4629153490
32.55568697,15.70368767,pharmacy,6947565995
32.5727843,15.63561035,pharmacy,6855036183
32.55845937,15.59671857,pharmacy,6007676429
32.45956415,15.60868734,pharmacy,7154131902
32.57601049,15.59754319,pharmacy,4629220589
32.57031247,15.59606269,pharmacy,7736818103
32.53541492,15.58434026,pharmacy,4548439403
32.56844096,15.57580053,pharmacy,6996802080
32.48956298,15.44306278,pharmacy,7066463168
32.49943912,15.50993729,pharmacy,7005500162
32.46641007,15.47390684,pharmacy,6903152356
32.56094176,15.60843958,pharmacy,6801721346
32.52618787,15.53418723,pharmacy,7004867271
32.52626675,15.53233089,pharmacy,3488609862
33.30424172,14.73150173,pharmacy,6918289005
32.53497504,15.59745283,clinic,7020258402
32.58281324,15.53731242,pharmacy,7004709720
32.57497298,15.56314276,pharmacy,1102343705
32.49503217,15.53276298,pharmacy,6055046593
32.59141936,15.70533957,pharmacy,7050332802
32.53634297,15.56342197,pharmacy,7702844585
32.52036136,15.52750786,pharmacy,3487439391
32.52984423,15.59869595,hospital,9078270794
32.45218656,15.64806268,pharmacy,7200393038
32.54431147,15.67318726,clinic,6964025438
32.48693844,15.45706266,pharmacy,7066616664
33.52654245,14.39650204,hospital,4662886971
32.501819,15.4718651,pharmacy,6796803738
32.52856272,15.62669712,pharmacy,6052324185
32.52984993,15.64127794,pharmacy,4639386289
32.53100713,15.64344827,pharmacy,2276618632
32.57140874,15.55851369,pharmacy,4548457819
32.56782079,15.59569456,pharmacy,7294564205
32.46093744,15.64893716,pharmacy,7170214004
32.52330919,15.58498852,pharmacy,6008262785
32.52468869,15.66218752,pharmacy,6952417788
32.54751973,15.58555539,pharmacy,4548450100
32.62386487,15.63320684,pharmacy,7038287176
32.57121546,15.50400726,pharmacy,4548458927
32.48880165,15.64442392,pharmacy,7023083917
32.53052098,15.60392265,dentist,7038287145
32.45243836,15.67831229,pharmacy,7216138334
32.4916878,15.4509373,pharmacy,7069338988
32.489563,15.4430628,pharmacy,7066463168
32.4903107,15.4404373,pharmacy,7066472417
32.6189537,15.5984329,pharmacy,6898081298
32.5694639,15.5330492,pharmacy,4548525889
33.4733517,14.8036371,doctors,5384994969
33.3525065,14.7264294,hospital,6092481529
33.2983151,14.7299751,hospital,6840044075
33.0226014,14.2251635,hospital,10019056054
33.2999175,14.7387066,pharmacy,6918292077
33.3004108,14.7387891,pharmacy,6918292076
